"Year","Month","Passengers"
1949,1,112
1949,1.99999999999909,118
1949,3.00000000000091,132
1949,4,129
1949,5.00000000000182,121
1949,6.00000000000091,135
1949,7.00000000000273,148
1949,8.00000000000182,148
1949,9.00000000000091,136
1949,10.0000000000027,119
1949,11.0000000000018,104
1949,12.0000000000036,118
1950,1,115
1950,2.00000000000455,126
1950,3.00000000000364,141
1950,4.00000000000546,135
1950,5.00000000000455,125
1950,6.00000000000364,149
1950,7.00000000000546,170
1950,8.00000000000455,170
1950,9.00000000000637,158
1950,10.0000000000055,133
1950,11.0000000000073,114
1950,12.0000000000064,140
1951,1,145
1951,2.00000000000728,150
1951,3.00000000000637,178
1951,4.00000000000819,163
1951,5.00000000000728,172
1951,6.00000000000909,178
1951,7.00000000000819,199
1951,8.00000000000728,199
1951,9.00000000000909,184
1951,10.0000000000082,162
1951,11.00000000001,146
1951,12.0000000000091,166
1952,1,171
1952,2.00000000001,180
1952,3.00000000000909,193
1952,4.00000000001091,181
1952,5.00000000001,183
1952,6.00000000001182,218
1952,7.00000000001091,230
1952,8.00000000001273,242
1952,9.00000000001182,209
1952,10.0000000000136,191
1952,11.0000000000127,172
1952,12.0000000000118,194
1953,1,196
1953,2.00000000001273,196
1953,3.00000000001455,236
1953,4.00000000001364,235
1953,5.00000000001546,229
1953,6.00000000001455,243
1953,7.00000000001364,264
1953,8.00000000001546,272
1953,9.00000000001455,237
1953,10.0000000000164,211
1953,11.0000000000155,180
1953,12.0000000000173,201
1954,1,204
1954,2.00000000001546,188
1954,3.00000000001728,235
1954,4.00000000001637,227
1954,5.00000000001819,234
1954,6.00000000001728,264
1954,7.0000000000191,302
1954,8.00000000001819,293
1954,9.00000000001728,259
1954,10.0000000000191,229
1954,11.0000000000182,203
1954,12.00000000002,229
1955,1,242
1955,2.00000000002092,233
1955,3.00000000002001,267
1955,4.00000000002183,269
1955,5.00000000002092,270
1955,6.00000000002001,315
1955,7.00000000002183,364
1955,8.00000000002092,347
1955,9.00000000002274,312
1955,10.0000000000218,274
1955,11.0000000000236,237
1955,12.0000000000227,278
1956,1,284
1956,2.00000000002365,277
1956,3.00000000002274,317
1956,4.00000000002456,313
1956,5.00000000002365,318
1956,6.00000000002547,374
1956,7.00000000002456,413
1956,8.00000000002365,405
1956,9.00000000002547,355
1956,10.0000000000246,306
1956,11.0000000000264,271
1956,12.0000000000255,306
1957,1,315
1957,2.00000000002638,301
1957,3.00000000002547,356
1957,4.00000000002728,348
1957,5.00000000002638,355
1957,6.00000000002819,422
1957,7.00000000002728,465
1957,8.0000000000291,467
1957,9.00000000002819,404
1957,10.00000000003,347
1957,11.0000000000291,305
1957,12.0000000000282,336
1958,1,340
1958,2.0000000000291,318
1958,3.00000000003092,362
1958,4.00000000003001,348
1958,5.00000000003183,363
1958,6.00000000003092,435
1958,7.00000000003001,491
1958,8.00000000003183,505
1958,9.00000000003092,404
1958,10.0000000000327,359
1958,11.0000000000318,310
1958,12.0000000000337,337
1959,1,360
1959,2.00000000003183,342
1959,3.00000000003365,406
1959,4.00000000003274,396
1959,5.00000000003456,420
1959,6.00000000003365,472
1959,7.00000000003547,548
1959,8.00000000003456,559
1959,9.00000000003638,463
1959,10.0000000000355,407
1959,11.0000000000346,362
1959,12.0000000000364,405
1960,1,417
1960,2.00000000003729,391
1960,3.00000000003638,419
1960,4.0000000000382,461
1960,5.00000000003729,472
1960,6.00000000003638,535
1960,7.0000000000382,622
1960,8.00000000003729,606
1960,9.00000000003911,508
1960,10.0000000000382,461
1960,11.00000000004,390
1960,12.0000000000391,432
